"letterChars","numberChars","specialChars","numCharacters","Type","strength"
9,2,0,11,mixedType,1
14,3,0,17,mixedType,2
9,1,0,10,mixedType,1
4,2,0,6,mixedType,0
7,3,0,10,mixedType,1
11,5,0,16,mixedType,2
5,2,0,7,mixedType,0
5,3,0,8,mixedType,1
15,1,0,16,mixedType,2
5,4,0,9,mixedType,1
8,3,0,11,mixedType,1
3,6,0,9,mixedType,1
6,1,0,7,mixedType,0
6,3,0,9,mixedType,1
1,7,0,8,mixedType,1
8,1,0,9,mixedType,1
7,3,0,10,mixedType,1
6,4,0,10,mixedType,1
4,4,0,8,mixedType,1
2,9,0,11,mixedType,1
5,2,0,7,mixedType,0
6,1,0,7,mixedType,0
8,2,0,10,mixedType,1
6,4,0,10,mixedType,1
5,3,0,8,mixedType,1
14,2,0,16,mixedType,2
4,2,0,6,mixedType,0
6,2,0,8,mixedType,1
9,1,0,10,mixedType,1
11,5,0,16,mixedType,2
5,3,0,8,mixedType,1
5,2,0,7,mixedType,0
10,2,0,12,mixedType,1
8,4,0,12,mixedType,1
7,4,0,11,mixedType,1
3,7,0,10,mixedType,1
8,1,0,9,mixedType,1
7,3,0,10,mixedType,1
7,1,0,8,mixedType,1
8,4,0,12,mixedType,1
8,1,0,9,mixedType,1
13,1,2,16,mixedType,2
5,4,0,9,mixedType,1
4,5,0,9,mixedType,1
5,3,0,8,mixedType,1
6,2,0,8,mixedType,1
8,2,0,10,mixedType,1
6,2,0,8,mixedType,1
6,3,0,9,mixedType,1
9,2,0,11,mixedType,1
3,6,0,9,mixedType,1
14,2,0,16,mixedType,2
8,2,0,10,mixedType,1
8,2,0,10,mixedType,1
11,1,0,12,mixedType,1
10,3,0,13,mixedType,1
15,1,0,16,mixedType,2
6,4,0,10,mixedType,1
14,2,0,16,mixedType,2
15,1,0,16,mixedType,2
5,2,0,7,mixedType,0
11,4,0,15,mixedType,2
2,4,0,6,mixedType,0
7,2,0,9,mixedType,1
1,8,0,9,mixedType,1
3,3,0,6,mixedType,0
7,3,0,10,mixedType,1
8,3,0,11,mixedType,1
